Date : 2024-10-24 11:17:29
Directory : c:\Users\MHMD\Desktop\CompanyPlanner
Total : 6588 files,  1140753 codes, 115039 comments, 233649 blanks, all 1489441 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240613112730.py                                                                                 | Python           |         63 |          0 |         10 |         73 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240827105953.py                                                                                 | Python           |         63 |          0 |         10 |         73 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240827105954.py                                                                                 | Python           |         63 |          0 |         10 |         73 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240827110007.py                                                                                 | Python           |         35 |          0 |          5 |         40 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240827110021.py                                                                                 | Python           |         35 |          0 |          5 |         40 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240827110022.py                                                                                 | Python           |         35 |          0 |          5 |         40 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240827110039.py                                                                                 | Python           |         35 |          0 |          5 |         40 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240827110040.py                                                                                 | Python           |         35 |          0 |          5 |         40 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240827110041.py                                                                                 | Python           |         35 |          0 |          5 |         40 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240827110042.py                                                                                 | Python           |         35 |          0 |          5 |         40 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828122057.py                                                                                 | Python           |         11 |          2 |          4 |         17 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828122058.py                                                                                 | Python           |         11 |          2 |          4 |         17 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828122136.py                                                                                 | Python           |         11 |          0 |          3 |         14 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828123022.py                                                                                 | Python           |         19 |          3 |          7 |         29 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828123023.py                                                                                 | Python           |         19 |          3 |          7 |         29 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828123309.py                                                                                 | Python           |         19 |          3 |          7 |         29 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828123310.py                                                                                 | Python           |         19 |          3 |          7 |         29 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828124119.py                                                                                 | Python           |         20 |          3 |          7 |         30 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828124120.py                                                                                 | Python           |         20 |          3 |          7 |         30 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828144559.py                                                                                 | Python           |         28 |          3 |          7 |         38 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828144600.py                                                                                 | Python           |         28 |          3 |          7 |         38 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828144601.py                                                                                 | Python           |         28 |          3 |          7 |         38 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828144646.py                                                                                 | Python           |         30 |          3 |          7 |         40 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828144647.py                                                                                 | Python           |         30 |          3 |          7 |         40 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240828144947.py                                                                                 | Python           |         33 |          3 |          7 |         43 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240902000755.py                                                                                 | Python           |         65 |          2 |         25 |         92 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240902000756.py                                                                                 | Python           |         65 |          2 |         25 |         92 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240902125746.py                                                                                 | Python           |         33 |          3 |          7 |         43 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240902125747.py                                                                                 | Python           |         33 |          3 |          7 |         43 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\task\views_20240902125748.py                                                                                 | Python           |         33 |          3 |          7 |         43 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805013609.py                                                                           | Python           |         39 |          0 |         12 |         51 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805014608.py                                                                           | Python           |         39 |          0 |         14 |         53 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805014609.py                                                                           | Python           |         39 |          0 |         13 |         52 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805014626.py                                                                           | Python           |         39 |          0 |         13 |         52 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805014942.py                                                                           | Python           |         43 |          0 |         13 |         56 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015005.py                                                                           | Python           |         45 |          0 |         12 |         57 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015028.py                                                                           | Python           |         45 |          0 |         12 |         57 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015144.py                                                                           | Python           |         45 |          0 |         12 |         57 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015345.py                                                                           | Python           |         41 |          5 |         12 |         58 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015346.py                                                                           | Python           |         41 |          5 |         12 |         58 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015404.py                                                                           | Python           |         41 |          5 |         12 |         58 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015405.py                                                                           | Python           |         41 |          5 |         12 |         58 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015439.py                                                                           | Python           |         41 |          5 |         13 |         59 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015448.py                                                                           | Python           |         41 |          5 |         13 |         59 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015626.py                                                                           | Python           |         41 |          5 |         13 |         59 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015634.py                                                                           | Python           |         41 |          5 |         13 |         59 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805015635.py                                                                           | Python           |         41 |          5 |         13 |         59 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\bot_20240805205431.py                                                                           | Python           |         41 |          5 |         13 |         59 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192301.py                                                    | Python           |         49 |          7 |         16 |         72 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192302.py                                                    | Python           |         49 |          7 |         16 |         72 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192522.py                                                    | Python           |         51 |          7 |         17 |         75 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192523.py                                                    | Python           |         51 |          7 |         17 |         75 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192714.py                                                    | Python           |         50 |          7 |         18 |         75 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192715.py                                                    | Python           |         50 |          7 |         18 |         75 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192838.py                                                    | Python           |         49 |          7 |         18 |         74 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192839.py                                                    | Python           |         49 |          7 |         18 |         74 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192904.py                                                    | Python           |         48 |          7 |         18 |         73 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192905.py                                                    | Python           |         48 |          7 |         18 |         73 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192937.py                                                    | Python           |         49 |          7 |         18 |         74 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192953.py                                                    | Python           |         48 |          7 |         18 |         73 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914192957.py                                                    | Python           |         47 |          8 |         18 |         73 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914193020.py                                                    | Python           |         48 |          8 |         17 |         73 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914193021.py                                                    | Python           |         48 |          8 |         17 |         73 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914193043.py                                                    | Python           |         49 |          8 |         17 |         74 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914193051.py                                                    | Python           |         49 |          8 |         17 |         74 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914193104.py                                                    | Python           |         49 |          8 |         17 |         74 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914193122.py                                                    | Python           |         48 |          7 |         15 |         70 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\runbot_20240914193123.py                                                    | Python           |         48 |          7 |         15 |         70 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092051.py                                              | Python           |          0 |          0 |          1 |          1 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092111.py                                              | Python           |         24 |          0 |          7 |         31 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092112.py                                              | Python           |         24 |          0 |          6 |         30 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092113.py                                              | Python           |         24 |          0 |          6 |         30 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092120.py                                              | Python           |         24 |          0 |          6 |         30 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092121.py                                              | Python           |         24 |          0 |          6 |         30 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092428.py                                              | Python           |         24 |          0 |          6 |         30 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092429.py                                              | Python           |         24 |          0 |          6 |         30 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092532.py                                              | Python           |         27 |          1 |          9 |         37 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092533.py                                              | Python           |         27 |          1 |          8 |         36 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092538.py                                              | Python           |         27 |          1 |          8 |         36 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092547.py                                              | Python           |         27 |          1 |          8 |         36 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092704.py                                              | Python           |         35 |          1 |          9 |         45 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092712.py                                              | Python           |         35 |          1 |          9 |         45 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092716.py                                              | Python           |         35 |          1 |          9 |         45 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092823.py                                              | Python           |         35 |          1 |          8 |         44 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806092838.py                                              | Python           |         35 |          1 |          8 |         44 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806094127.py                                              | Python           |         35 |          0 |          8 |         43 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806094130.py                                              | Python           |         35 |          0 |          8 |         43 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\send_message_20240806094131.py                                              | Python           |         35 |          0 |          8 |         43 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\test_sync_to_async_20240805015655.py                                        | Python           |          0 |          0 |          1 |          1 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\test_sync_to_async_20240805015701.py                                        | Python           |         10 |          0 |          4 |         14 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\test_sync_to_async_20240805015702.py                                        | Python           |         10 |          0 |          3 |         13 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\test_sync_to_async_20240805015858.py                                        | Python           |         10 |          0 |          4 |         14 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\test_sync_to_async_20240805015859.py                                        | Python           |         10 |          0 |          4 |         14 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\test_sync_to_async_20240805204129.py                                        | Python           |         13 |          0 |          4 |         17 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\telegram_bot\management\commands\test_sync_to_async_20240805204130.py                                        | Python           |         13 |          0 |          4 |         17 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20180926191723.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006150844.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006150856.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006150906.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006150907.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006150929.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006150930.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006151731.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006151732.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006151936.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006152022.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006152023.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\templates\404_20241006155147.html                                                                            | HTML             |         22 |          9 |         11 |         42 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\admin_20240527130556.py                                                                               | Python           |         17 |          0 |          3 |         20 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\admin_20240902131040.py                                                                               | Python           |          0 |         17 |          3 |         20 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\admin_20240902131041.py                                                                               | Python           |          0 |         17 |          3 |         20 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\admin_20240902131438.py                                                                               | Python           |         17 |          0 |          4 |         21 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\admin_20240902131439.py                                                                               | Python           |         17 |          0 |          4 |         21 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\admin_20240902132912.py                                                                               | Python           |         16 |          0 |          4 |         20 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\admin_20240902132913.py                                                                               | Python           |         16 |          0 |          3 |         19 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\models_20240527130404.py                                                                              | Python           |         29 |          0 |          8 |         37 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\models_20240902130538.py                                                                              | Python           |         30 |          0 |          8 |         38 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\models_20240902130539.py                                                                              | Python           |         30 |          0 |          8 |         38 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\models_20240902131205.py                                                                              | Python           |         30 |          0 |          8 |         38 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\models_20240902132826.py                                                                              | Python           |         31 |          0 |          8 |         39 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\models_20240902132827.py                                                                              | Python           |         31 |          0 |          8 |         39 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\models_20240902132828.py                                                                              | Python           |         31 |          0 |          7 |         38 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\serializers_20240531174054.py                                                                         | Python           |         29 |          0 |          8 |         37 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\serializers_20240902130559.py                                                                         | Python           |         15 |          0 |          5 |         20 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\serializers_20240902132207.py                                                                         | Python           |         18 |          0 |          7 |         25 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\serializers_20240902132208.py                                                                         | Python           |         18 |          0 |          7 |         25 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\serializers_20240902132850.py                                                                         | Python           |         14 |          0 |          4 |         18 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\urls_20240527125735.py                                                                                | Python           |          9 |          0 |          3 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\urls_20240902130628.py                                                                                | Python           |         10 |          0 |          3 |         13 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\urls_20240902130629.py                                                                                | Python           |         10 |          0 |          3 |         13 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\urls_20240902132923.py                                                                                | Python           |         10 |          0 |          3 |         13 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\urls_20240902133005.py                                                                                | Python           |         11 |          0 |          4 |         15 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\urls_20240902133132.py                                                                                | Python           |         11 |          0 |          5 |         16 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\views_20240527125716.py                                                                               | Python           |         48 |          0 |          8 |         56 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\views_20240902130607.py                                                                               | Python           |         53 |          3 |         17 |         73 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\views_20240902130608.py                                                                               | Python           |         53 |          3 |         17 |         73 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\views_20240902132626.py                                                                               | Python           |         37 |          5 |         10 |         52 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\views_20240902132642.py                                                                               | Python           |         37 |          0 |         10 |         47 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\views_20240902132643.py                                                                               | Python           |         37 |          0 |         10 |         47 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\views_20240902132839.py                                                                               | Python           |         37 |          5 |         10 |         52 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\views_20240902132840.py                                                                               | Python           |         37 |          5 |         10 |         52 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\views_20240902133934.py                                                                               | Python           |         37 |          0 |         10 |         47 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\views_20240902133935.py                                                                               | Python           |         37 |          0 |         10 |         47 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\ticket\views_20240902134121.py                                                                               | Python           |         37 |          0 |         10 |         47 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\admin_20240813015614.py                                                                            | Python           |          1 |          1 |          2 |          4 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\admin_20240813030240.py                                                                            | Python           |          3 |          0 |          1 |          4 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\admin_20240813030241.py                                                                            | Python           |          3 |          0 |          1 |          4 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\admin_20240904150552.py                                                                            | Python           |          5 |          0 |          3 |          8 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\admin_20240904150553.py                                                                            | Python           |          5 |          0 |          3 |          8 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\admin_20240904165845.py                                                                            | Python           |         12 |          0 |          3 |         15 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\admin_20240904165846.py                                                                            | Python           |         12 |          0 |          3 |         15 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240813015614.py                                                                           | Python           |          1 |          1 |          2 |          4 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240813025551.py                                                                           | Python           |          9 |          1 |          3 |         13 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240826121226.py                                                                           | Python           |          9 |          1 |          3 |         13 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240904150519.py                                                                           | Python           |         17 |          0 |          5 |         22 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240904161344.py                                                                           | Python           |         17 |          0 |          5 |         22 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240904161345.py                                                                           | Python           |         17 |          0 |          5 |         22 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240904165738.py                                                                           | Python           |         17 |          0 |          5 |         22 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240904165739.py                                                                           | Python           |         17 |          0 |          5 |         22 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240904212110.py                                                                           | Python           |         25 |          0 |          9 |         34 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240904212122.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240904212123.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20240904212151.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20241005121036.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20241005121037.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20241005121102.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20241005121349.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20241005121350.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20241005121619.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20241005121620.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20241005122230.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20241005122300.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\models_20241005122325.py                                                                           | Python           |         26 |          0 |          9 |         35 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20240813030108.py                                                                      | Python           |          0 |          0 |          1 |          1 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20240813030135.py                                                                      | Python           |         11 |          0 |          2 |         13 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20240813030146.py                                                                      | Python           |         10 |          0 |          2 |         12 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20240904150545.py                                                                      | Python           |         11 |          0 |          4 |         15 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20240904150546.py                                                                      | Python           |         11 |          0 |          4 |         15 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20240904165802.py                                                                      | Python           |         11 |          0 |          4 |         15 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20240904165803.py                                                                      | Python           |         11 |          0 |          4 |         15 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20240904170931.py                                                                      | Python           |         17 |          0 |          5 |         22 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20240904170932.py                                                                      | Python           |         17 |          0 |          5 |         22 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20241005113308.py                                                                      | Python           |         21 |          1 |          6 |         28 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20241005113309.py                                                                      | Python           |         21 |          1 |          6 |         28 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20241005113550.py                                                                      | Python           |         23 |          2 |          8 |         33 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20241005113551.py                                                                      | Python           |         23 |          2 |          8 |         33 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20241005113849.py                                                                      | Python           |         23 |          2 |          8 |         33 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20241005115655.py                                                                      | Python           |         26 |          2 |          8 |         36 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20241005115656.py                                                                      | Python           |         26 |          2 |          8 |         36 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20241005115657.py                                                                      | Python           |         26 |          2 |          8 |         36 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20241005115955.py                                                                      | Python           |         13 |         15 |          8 |         36 |
| c:\Users\MHMD\Desktop\CompanyPlanner\.history\timesheet\serializers_20241005120737.py                                                                      | Python           |         26 |          2 |          8 |         36 |
